cliente_id,cnpj,razao_social,segmento,cidade,uf,bairro,data_cadastro,ativo
1, 17810801326773 ,Casa das Peças Nobre LTDA ME,Concessionária,Curitiba,PR,Aldeota,2022-06-03,S
2,87234309805009,Mecânica Fênix LTDA,Concessionária,Manaus,AM,Moema,2021-12-30,S
3,36193990916998,Retífica Bosch Car ME,Funilaria e pintura,Campinas,SP,Batel,2022-11-24,S
4,75107991183842,Auto Elétrica Guará ME,Funilaria e pintura,Porto Alegre,RS,Higienópolis,2022-09-18,S
5, 80841241182449 ,AUTO PEÇAS PISTA EIRELI,Funilaria e pintura,Goiânia,GO,Asa Sul,2023-06-28,S
6,16400524278680,Auto Parts Max S/A,Autopeças independente,São Paulo,SP,Batel,2025-01-31,N
7,05331586923226,Peças e Serviços Paulista EIRELI,Rede de autopeças,Salvador,BA,Savassi,2025-08-07,S
8,73375433036541,Loja Diamante EIRELI,Rede de autopeças,São Paulo,SP,Savassi,2023-02-08,S
9,29401965569816,Distribuidora Bosch Car S/A,Rede de autopeças,Porto Alegre,RS,Meireles,16/10/2024,S
10,59514846564823,Loja do Sul S/A,Rede de autopeças,Rio de Janeiro,RJ,Pinheiros,24/04/2022,S
11,44369957773872,Auto Peças União EIRELI,Oficina mecânica,São Paulo,SP,Meireles,2024-03-12,S
12, 37917693676320 ,LOJA PAULISTA LTDA ME,Funilaria e pintura,São Paulo,SP,Barra,2024-01-27,S
13,72.788.957/9868-72,Casa das Peças Paulista S/A,Funilaria e pintura,Rio de Janeiro,RJ,Barra,2022-01-03,S
14,43455812236231,Rede Speed ME,Auto center,Rio de Janeiro,RJ,Pinheiros,2022-05-06,S
15,09.670.546/6889-37,Auto Center Bosch Car EIRELI,Auto center,Goiânia,GO,Pinheiros,2023-06-10,S
16,29.806.990/1627-20,Retífica Anhanguera EIRELI,Funilaria e pintura,Fortaleza,CE,Pinheiros,2023-03-19,S
17,41.708.053/1003-30,Comércio de Peças Prime LTDA ME,Retífica de motores,Recife,PE,Ipanema,2025-12-29,S
18,12.419.049/6631-93,Importadora Aurora LTDA,E-commerce de peças,Goiânia,GO,Jardins,2024-02-06,S
19,51.850.671/6572-62,Auto Peças Pista LTDA ME,E-commerce de peças,Recife,PE,Asa Sul,2021-09-29,S
20,14737996507527,Auto Center Speed S/A,E-commerce de peças,Curitiba,PR,Asa Sul,2023-06-25,S
21,31.367.837/7701-43,Distribuidora Onix EIRELI,E-commerce de peças,Brasília,DF,Bela Vista,2022-05-27,S
22,85.574.443/1351-82,Casa das Peças Bosch Car S/A,E-commerce de peças,Manaus,AM,Savassi,2026-01-09,S
23,35240824008427,Auto Center Rota LTDA ME,E-commerce de peças,Porto Alegre,RS,Jardins,2024-02-04,S
24, 11671902294131 ,Auto Center Titan LTDA ME,Funilaria e pintura,Fortaleza,CE,Setor Bueno,2021-07-17,S
25,49909133412328,Casa das Peças Fortaleza LTDA ME,Auto center,Recife,PE,Barra,2025-10-24,S
26,71.349.361/8324-21,Centro Automotivo Rota LTDA ME,E-commerce de peças,Porto Alegre,RS,Pinheiros,2025-07-12,S
27, 87719065940139 ,Auto Peças Speed ME,E-commerce de peças,Brasília,DF,Aldeota,2024-07-21,S
28,96717565512567,Loja Econômica LTDA ME,Rede de autopeças,Belo Horizonte,MG,Asa Sul,2023-01-20,S
29,80.876.038/5977-03,AUTO CENTER IPÊ LTDA,E-commerce de peças,Recife,PE,Barra,2023-03-05,S
30,80.861.317/1274-84,Auto Center Ouro S/A,Auto center,Porto Alegre,RS,Meireles,2022-05-05,S
