sku,descricao,categoria,marca,aplicacao,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00001,Pastilha de Freio Magneti Marelli Linha Fiat KIT 5,Pastilha de Freio,Magneti Marelli,Linha Fiat,199.14,108.56,KIT 5,S,
SKU00002,Pastilha de Freio NGK Linha Toyota KIT 3,Pastilha de Freio,NGK,Linha Toyota,337.35,178.83,KIT 3,S,
SKU00003,Pastilha de Freio Nakata Linha VW KIT 5,Pastilha de Freio,Nakata,Linha VW,318.50,179.09,KIT 5,S,2025-04-07
SKU00004,Pastilha de Freio SKF Linha Honda CX 24,Pastilha de Freio,SKF,Linha Honda,305.52,171.61,CX 24,S,2025-07-31
SKU00005,Pastilha de Freio Bosch Linha Ford CX 12,Pastilha de Freio,Bosch,Linha Ford,406.21,216.43,CX 12,S,
SKU00006,Pastilha de Freio Magneti Marelli Linha Renault KIT 5,Pastilha de Freio,Magneti Marelli,Linha Renault,253.89,142.89,KIT 5,S,2025-01-18
SKU00007,Pastilha de Freio NGK Linha Hyundai CX 24,Pastilha de Freio,NGK,Linha Hyundai,408.18,240.99,CX 24,S,2025-03-08
SKU00008,Pastilha de Freio Monroe Linha Toyota UN,Pastilha de Freio,Monroe,Linha Toyota,303.34,163.68,UN,S,2025-02-15
SKU00009,Pastilha de Freio Varga Linha Toyota KIT 5,Pastilha de Freio,Varga,Linha Toyota,199.59,105.72,KIT 5,S,
SKU00010,Pastilha de Freio Nakata Linha GM KIT 3,Pastilha de Freio,Nakata,Linha GM,172.64,98.69,KIT 3,S,
SKU00011,Pastilha de Freio Bosch Linha GM UN,Pastilha de Freio,Bosch,Linha GM,240.83,135.85,UN,S,
SKU00012,Pastilha de Freio Magneti Marelli Linha Hyundai CX 6,Pastilha de Freio,Magneti Marelli,Linha Hyundai,402.43,235.56,CX 6,S,
SKU00013,Pastilha de Freio Varga Universal KIT 3,Pastilha de Freio,Varga,Universal,178.92,100.06,KIT 3,S,2026-05-24
SKU00014,Pastilha de Freio Magneti Marelli Linha Fiat KIT 5,Pastilha de Freio,Magneti Marelli,Linha Fiat,138.17,77.26,KIT 5,S,
SKU00015,Pastilha de Freio Bosch Linha Nissan UN,Pastilha de Freio,Bosch,Linha Nissan,152.98,86.04,UN,S,
SKU00016,Pastilha de Freio SKF Linha Citroën UN,Pastilha de Freio,SKF,Linha Citroën,393.67,234.00,UN,S,
SKU00017,Pastilha de Freio Bosch Universal KIT 3,Pastilha de Freio,Bosch,Universal,305.41,182.43,KIT 3,S,2024-11-18
SKU00018,Pastilha de Freio Bosch Linha Renault UN,Pastilha de Freio,Bosch,Linha Renault,254.59,135.95,UN,S,
SKU00019,Pastilha de Freio Magneti Marelli Linha Fiat CX 24,Pastilha de Freio,Magneti Marelli,Linha Fiat,342.78,180.71,CX 24,S,
SKU00020,Pastilha de Freio Bosch Linha Renault CX 24,Pastilha de Freio,Bosch,Linha Renault,102.40,58.04,CX 24,S,
SKU00021,Pastilha de Freio NGK Universal CX 24,Pastilha de Freio,NGK,Universal,110.17,58.35,CX 24,S,
SKU00022,Pastilha de Freio SKF Linha Renault CX 24,Pastilha de Freio,SKF,Linha Renault,297.06,157.96,CX 24,S,
SKU00023,Pastilha de Freio NGK Linha Honda UN,Pastilha de Freio,NGK,Linha Honda,116.30,65.97,UN,S,
SKU00024,Pastilha de Freio Monroe Linha Hyundai CX 24,Pastilha de Freio,Monroe,Linha Hyundai,409.27,219.10,CX 24,S,
SKU00025,Pastilha de Freio Bosch Linha Renault UN,Pastilha de Freio,Bosch,Linha Renault,192.83,106.29,UN,S,
SKU00026,Pastilha de Freio Magneti Marelli Linha GM CX 24,Pastilha de Freio,Magneti Marelli,Linha GM,313.83,164.04,CX 24,S,
SKU00027,Pastilha de Freio SKF Linha Renault KIT 5,Pastilha de Freio,SKF,Linha Renault,272.93,153.93,KIT 5,S,
SKU00028,Pastilha de Freio Nakata Linha Fiat KIT 5,Pastilha de Freio,Nakata,Linha Fiat,106.70,60.06,KIT 5,S,
SKU00029,Pastilha de Freio Varga Linha Peugeot UN,Pastilha de Freio,Varga,Linha Peugeot,144.11,74.97,UN,S,
SKU00030,Pastilha de Freio Magneti Marelli Linha Peugeot CX 6,Pastilha de Freio,Magneti Marelli,Linha Peugeot,134.71,71.54,CX 6,S,
SKU00031,Pastilha de Freio Monroe Linha VW UN,Pastilha de Freio,Monroe,Linha VW,263.12,139.43,UN,S,
SKU00032,Pastilha de Freio NGK Linha Nissan KIT 3,Pastilha de Freio,NGK,Linha Nissan,380.70,223.46,KIT 3,S,
SKU00033,Pastilha de Freio Magneti Marelli Linha Fiat KIT 3,Pastilha de Freio,Magneti Marelli,Linha Fiat,259.43,154.77,KIT 3,S,
SKU00034,Pastilha de Freio NGK Linha Honda UN,Pastilha de Freio,NGK,Linha Honda,132.18,77.01,UN,N,
SKU00035,Pastilha de Freio Varga Linha Ford KIT 3,Pastilha de Freio,Varga,Linha Ford,323.44,180.53,KIT 3,N,
SKU00036,Pastilha de Freio Varga Universal CX 24,Pastilha de Freio,Varga,Universal,326.88,175.81,CX 24,S,
SKU00037,Pastilha de Freio Nakata Linha Ford UN,Pastilha de Freio,Nakata,Linha Ford,308.94,161.69,UN,S,
SKU00038,Pastilha de Freio Magneti Marelli Linha Peugeot KIT 5,Pastilha de Freio,Magneti Marelli,Linha Peugeot,321.68,175.65,KIT 5,S,
SKU00039,Pastilha de Freio NGK Linha VW KIT 3,Pastilha de Freio,NGK,Linha VW,150.65,81.58,KIT 3,S,
SKU00040,Pastilha de Freio Varga Linha Toyota KIT 3,Pastilha de Freio,Varga,Linha Toyota,100.92,54.19,KIT 3,N,
SKU00041,Pastilha de Freio Bosch Linha Renault CX 24,Pastilha de Freio,Bosch,Linha Renault,364.12,199.29,CX 24,S,
SKU00042,Pastilha de Freio Varga Linha Fiat CX 24,Pastilha de Freio,Varga,Linha Fiat,263.17,156.61,CX 24,N,
SKU00043,Pastilha de Freio Varga Linha GM KIT 5,Pastilha de Freio,Varga,Linha GM,369.66,204.10,KIT 5,S,
SKU00044,Pastilha de Freio Varga Linha Citroën KIT 3,Pastilha de Freio,Varga,Linha Citroën,104.70,60.50,KIT 3,N,
SKU00045,Pastilha de Freio SKF Linha Hyundai CX 6,Pastilha de Freio,SKF,Linha Hyundai,224.35,127.50,CX 6,N,
SKU00046,Pastilha de Freio SKF Linha Ford KIT 3,Pastilha de Freio,SKF,Linha Ford,285.37,167.85,KIT 3,S,2025-02-04
SKU00047,Pastilha de Freio Bosch Linha GM CX 12,Pastilha de Freio,Bosch,Linha GM,191.88,104.94,CX 12,S,
SKU00048,Pastilha de Freio NGK Linha GM KIT 5,Pastilha de Freio,NGK,Linha GM,119.91,65.38,KIT 5,S,
SKU00049,Pastilha de Freio SKF Linha Ford UN,Pastilha de Freio,SKF,Linha Ford,415.38,247.90,UN,S,
SKU00050,Pastilha de Freio Nakata Linha Fiat CX 6,Pastilha de Freio,Nakata,Linha Fiat,242.04,128.26,CX 6,S,
SKU00051,Pastilha de Freio Bosch Linha VW CX 24,Pastilha de Freio,Bosch,Linha VW,107.08,61.71,CX 24,S,2026-04-26
SKU00052,Pastilha de Freio NGK Universal CX 24,Pastilha de Freio,NGK,Universal,362.30,208.62,CX 24,S,
SKU00053,Pastilha de Freio Magneti Marelli Linha Fiat CX 24,Pastilha de Freio,Magneti Marelli,Linha Fiat,135.19,77.58,CX 24,S,
SKU00054,Filtro de Óleo Fram Linha Citroën UN,Filtro de Óleo,Fram,Linha Citroën,170.81,80.58,UN,S,
SKU00055,Filtro de Óleo Fram Linha Peugeot KIT 5,Filtro de Óleo,Fram,Linha Peugeot,173.57,84.18,KIT 5,N,
SKU00056,Filtro de Óleo Fram Linha Renault KIT 5,Filtro de Óleo,Fram,Linha Renault,114.37,56.09,KIT 5,S,
SKU00057,Filtro de Óleo Tecfil Linha Ford CX 12,Filtro de Óleo,Tecfil,Linha Ford,94.52,42.93,CX 12,S,
SKU00058,Filtro de Óleo NGK Linha Nissan CX 12,Filtro de Óleo,NGK,Linha Nissan,222.63,106.42,CX 12,S,
SKU00059,Filtro de Óleo Magneti Marelli Linha VW CX 12,Filtro de Óleo,Magneti Marelli,Linha VW,61.57,28.50,CX 12,N,
SKU00060,Filtro de Óleo Nakata Linha Peugeot CX 24,Filtro de Óleo,Nakata,Linha Peugeot,203.29,93.59,CX 24,S,
SKU00061,Filtro de Óleo Tecfil Linha VW CX 6,Filtro de Óleo,Tecfil,Linha VW,67.42,34.27,CX 6,S,
SKU00062,Filtro de Óleo Fram Linha Fiat CX 12,Filtro de Óleo,Fram,Linha Fiat,174.62,87.84,CX 12,S,
SKU00063,Filtro de Óleo Tecfil Linha Ford CX 12,Filtro de Óleo,Tecfil,Linha Ford,121.82,55.99,CX 12,S,
SKU00064,Filtro de Óleo Magneti Marelli Linha Hyundai CX 12,Filtro de Óleo,Magneti Marelli,Linha Hyundai,178.58,90.10,CX 12,S,2025-12-09
SKU00065,Filtro de Óleo Tecfil Linha Fiat CX 12,Filtro de Óleo,Tecfil,Linha Fiat,145.50,75.61,CX 12,S,
SKU00066,Filtro de Óleo NGK Linha Renault CX 24,Filtro de Óleo,NGK,Linha Renault,45.55,22.99,CX 24,S,
SKU00067,Filtro de Óleo NGK Linha Fiat CX 24,Filtro de Óleo,NGK,Linha Fiat,149.02,75.38,CX 24,S,
SKU00068,Filtro de Óleo Magneti Marelli Linha VW KIT 3,Filtro de Óleo,Magneti Marelli,Linha VW,166.03,73.24,KIT 3,S,
SKU00069,Filtro de Óleo Nakata Linha Peugeot CX 6,Filtro de Óleo,Nakata,Linha Peugeot,68.58,30.50,CX 6,S,
